timestamp,duration,protocol,source_ip,source_port,direction,destination_ip,destination_port,state,source_type_of_service,destination_type_of_service,total_packets,bytes_transferred_total,bytes_transferred_source_to_dest,source_type_service,flowID,pps,bps_oneway,bpp_oneway,bps_twoway,bpp_twoway
2024-01-01 00:00:00,112.424581642324,ICMP,86.59.100.243,20480,inbound,116.150.81.49,47564,ACK,3,0,752,32677,65415,3,86.59.100.243/20480/inbound/116.150.81.49/47564,6.6889286045330305,581.856734927564,86.98803191489361,290.65707448181627,43.453457446808514
2024-01-01 00:01:00,285.2192204923339,UDP,234.11.238.48,10283,inbound,246.205.241.78,18639,CON,2,1,318,7811,30856,2,234.11.238.48/10283/inbound/246.205.241.78/18639,1.1149318739847942,108.18345252727927,97.03144654088051,27.385952414135932,24.562893081761008
2024-01-01 00:02:00,219.6249831492404,ICMP,42.165.81.172,36578,outbound,79.69.26.14,41751,CON,2,4,633,85648,12260,2,42.165.81.172/36578/outbound/79.69.26.14/41751,2.882185764676241,55.82242887034868,19.368088467614534,389.97384893047507,135.30489731437598
2024-01-01 00:03:00,179.63767941069125,ICMP,35.157.215.233,47946,outbound,50.35.246.7,45772,REQ,4,4,48,99969,37022,4,35.157.215.233/47946/outbound/50.35.246.7/45772,0.2672045205519575,206.0926199973869,771.2916666666666,556.503514897055,2082.6875
2024-01-01 00:04:00,46.88999026868671,TCP,158.205.133.66,14433,outbound,79.130.189.46,52887,CON,1,4,10,4196,34186,1,158.205.133.66/14433/outbound/79.130.189.46/52887,0.21326513276497805,729.068182870354,3418.6,89.4860497081848,419.6
2024-01-01 00:05:00,46.88275664882717,TCP,80.6.179.13,4815,inbound,205.104.97.215,40373,ACK,2,4,233,66655,44347,2,80.6.179.13/4815/inbound/205.104.97.215/40373,4.969844280814677,945.9128082458734,190.3304721030043,1421.7380709772633,286.07296137339057
2024-01-01 00:06:00,17.51927528924302,ICMP,73.142.148.162,26888,outbound,232.95.188.159,57881,FIN,2,3,36,89948,15995,2,73.142.148.162/26888/outbound/232.95.188.159/57881,2.0548795201651004,912.9943868066885,444.30555555555554,5134.230641105846,2498.5555555555557
2024-01-01 00:07:00,259.86622611790307,TCP,66.90.129.162,37663,outbound,222.115.240.12,30401,CON,0,0,413,75112,42527,0,66.90.129.162/37663/outbound/222.115.240.12/30401,1.5892792463635468,163.6495847702241,102.97094430992736,289.04102361467,181.86924939467312
2024-01-01 00:08:00,180.3743920217883,UDP,210.205.19.209,35598,inbound,1.33.189.78,31055,REQ,3,3,462,8354,79230,3,210.205.19.209/35598/inbound/1.33.189.78/31055,2.5613391946690123,439.25303981304296,171.4935064935065,46.31477842481586,18.082251082251084
2024-01-01 00:09:00,212.450966081034,UDP,10.24.193.24,64651,inbound,236.77.120.92,50597,REQ,0,4,4,98055,70503,0,10.24.193.24/64651/inbound/236.77.120.92/50597,0.018827873903262467,331.8553984504284,17625.75,461.54179389610033,24513.75
2024-01-01 00:10:00,6.273289839311153,TCP,253.53.32.163,18912,inbound,98.81.245.198,43757,REQ,4,2,44,77220,77463,4,253.53.32.163/18912/inbound/98.81.245.198/43757,7.013863718567079,12348.066482530947,1760.5227272727273,12309.330826085225,1755.0
2024-01-01 00:11:00,290.9759646633821,UDP,95.13.64.109,20716,outbound,221.246.158.191,64832,FIN,1,3,568,6065,13274,1,95.13.64.109/20716/outbound/221.246.158.191/64832,1.9520512653239086,45.61888819702388,23.369718309859156,20.843645993291386,10.67781690140845
2024-01-01 00:12:00,249.74954797604644,TCP,80.53.237.124,24525,inbound,253.152.37.13,12784,CON,3,4,554,77100,3102,3,80.53.237.124/24525/inbound/253.152.37.13/12784,2.2182222329913257,12.42044290025107,5.59927797833935,308.70926744337766,139.1696750902527
2024-01-01 00:13:00,63.780499292415016,ICMP,180.130.226.168,14328,inbound,136.90.53.129,48714,CON,0,4,255,78075,27322,0,180.130.226.168/14328/inbound/136.90.53.129/48714,3.998087234013319,428.3754486576937,107.14509803921568,1224.120238414078,306.1764705882353
2024-01-01 00:14:00,54.62930766540947,ICMP,134.24.140.116,55224,inbound,209.100.205.88,34738,CON,2,0,740,58087,41200,2,134.24.140.116/55224/inbound/209.100.205.88/34738,13.545842545402747,754.1739363116124,55.67567567567568,1063.2937242362289,78.49594594594595
