timestamp,duration,protocol,source_ip,source_port,direction,destination_ip,destination_port,state,source_type_of_service,destination_type_of_service,total_packets,bytes_transferred_total,bytes_transferred_source_to_dest
2024-01-01 00:00:00,65.22488451397038,UDP,175.141.128.16,44451,outbound,50.139.91.240,65474,CON,1,2,375,87151,64252
2024-01-01 00:01:00,295.27650497073796,UDP,225.182.220.52,39896,inbound,32.32.199.233,3833,CON,3,0,72,79856,33633
2024-01-01 00:02:00,252.51839526051944,UDP,118.108.158.189,55995,outbound,26.41.177.60,40785,REQ,3,4,74,47366,47328
2024-01-01 00:03:00,236.7225648797523,ICMP,136.157.76.79,17571,outbound,41.184.129.98,58105,CON,3,4,897,54654,29915
2024-01-01 00:04:00,99.13154602549221,ICMP,194.44.17.98,24330,inbound,98.197.30.150,27954,FIN,3,0,341,58315,12339
2024-01-01 00:05:00,160.73593268888484,TCP,173.146.204.242,29234,outbound,204.181.114.155,60141,ACK,2,3,153,99238,70320
2024-01-01 00:06:00,41.217246103491156,TCP,68.82.49.24,46717,inbound,207.146.203.241,24119,ACK,2,1,96,60756,35571
2024-01-01 00:07:00,161.5889454011455,TCP,166.242.120.222,29263,outbound,48.1.138.171,12970,ACK,4,0,565,54204,6555
2024-01-01 00:08:00,43.85218502033785,UDP,164.67.55.38,28854,outbound,101.186.127.58,5015,REQ,2,4,445,76944,44377
2024-01-01 00:09:00,165.95604941248138,ICMP,63.127.134.121,4405,inbound,120.37.152.106,24543,FIN,1,0,686,1069,65569
2024-01-01 00:10:00,194.65169185845616,ICMP,247.185.207.58,35856,inbound,21.41.163.136,27681,CON,4,3,110,98996,70271
2024-01-01 00:11:00,117.1197705782457,TCP,48.132.238.214,40381,outbound,140.9.186.237,1850,FIN,2,2,458,354,18459
2024-01-01 00:12:00,149.61360901155481,TCP,36.223.87.24,29865,outbound,133.32.68.79,43649,ACK,3,2,828,10406,19567
2024-01-01 00:13:00,262.7084509636083,ICMP,173.219.18.134,8471,inbound,191.100.228.28,17537,CON,2,1,51,65616,44583
2024-01-01 00:14:00,32.658087096372526,UDP,236.185.232.208,21392,outbound,146.220.133.52,18825,ACK,0,1,377,93177,30525
2024-01-01 00:15:00,237.54069461059586,TCP,66.79.166.254,21295,inbound,210.159.123.41,30870,ACK,4,3,765,68297,15377
2024-01-01 00:16:00,51.3092898437593,TCP,125.145.102.128,1363,inbound,47.158.189.183,40590,ACK,2,1,73,80945,55394
2024-01-01 00:17:00,11.108724043108053,ICMP,191.130.126.20,54997,inbound,246.10.153.219,24181,FIN,2,2,212,18323,3721
2024-01-01 00:18:00,55.753823363239825,ICMP,126.123.157.10,53957,outbound,155.82.184.108,29387,FIN,1,3,432,71541,70527
2024-01-01 00:19:00,229.53645267214984,TCP,22.110.124.56,20998,inbound,27.186.61.147,51583,ACK,3,3,724,68067,78052
2024-01-01 00:20:00,121.5973093937243,TCP,89.130.157.215,27533,outbound,131.143.102.43,6160,ACK,3,3,763,73392,50806
