timestamp,duration,protocol,source_ip,source_port,direction,destination_ip,destination_port,state,source_type_of_service,destination_type_of_service,total_packets,bytes_transferred_total,bytes_transferred_source_to_dest
2024-01-01 00:00:00,112.424581642324,ICMP,86.59.100.243,20480,inbound,116.150.81.49,47564,ACK,3,0,752,32677,65415
2024-01-01 00:01:00,285.2192204923339,UDP,234.11.238.48,10283,inbound,246.205.241.78,18639,CON,2,1,318,7811,30856
2024-01-01 00:02:00,219.62498314924036,ICMP,42.165.81.172,36578,outbound,79.69.26.14,41751,CON,2,4,633,85648,12260
2024-01-01 00:03:00,179.63767941069125,ICMP,35.157.215.233,47946,outbound,50.35.246.7,45772,REQ,4,4,48,99969,37022
2024-01-01 00:04:00,46.88999026868671,TCP,158.205.133.66,14433,outbound,79.130.189.46,52887,CON,1,4,10,4196,34186
2024-01-01 00:05:00,46.88275664882717,TCP,80.6.179.13,4815,inbound,205.104.97.215,40373,ACK,2,4,233,66655,44347
2024-01-01 00:06:00,17.51927528924302,ICMP,73.142.148.162,26888,outbound,232.95.188.159,57881,FIN,2,3,36,89948,15995
2024-01-01 00:07:00,259.86622611790307,TCP,66.90.129.162,37663,outbound,222.115.240.12,30401,CON,0,0,413,75112,42527
2024-01-01 00:08:00,180.3743920217883,UDP,210.205.19.209,35598,inbound,1.33.189.78,31055,REQ,3,3,462,8354,79230
2024-01-01 00:09:00,212.450966081034,UDP,10.24.193.24,64651,inbound,236.77.120.92,50597,REQ,0,4,4,98055,70503
2024-01-01 00:10:00,6.273289839311153,TCP,253.53.32.163,18912,inbound,98.81.245.198,43757,REQ,4,2,44,77220,77463
2024-01-01 00:11:00,290.9759646633821,UDP,95.13.64.109,20716,outbound,221.246.158.191,64832,FIN,1,3,568,6065,13274
2024-01-01 00:12:00,249.74954797604644,TCP,80.53.237.124,24525,inbound,253.152.37.13,12784,CON,3,4,554,77100,3102
2024-01-01 00:13:00,63.780499292415016,ICMP,180.130.226.168,14328,inbound,136.90.53.129,48714,CON,0,4,255,78075,27322
2024-01-01 00:14:00,54.62930766540947,ICMP,134.24.140.116,55224,inbound,209.100.205.88,34738,CON,2,0,740,58087,41200
2024-01-01 00:15:00,55.1030125050448,UDP,226.135.148.225,28551,inbound,56.93.92.83,26786,FIN,2,1,114,33063,17366
2024-01-01 00:16:00,91.34224866356536,TCP,196.24.78.67,58439,outbound,85.188.244.21,52010,FIN,3,3,749,94076,53439
2024-01-01 00:17:00,157.4744538465081,TCP,173.187.11.31,19098,inbound,35.228.15.49,35356,ACK,2,3,397,3373,63382
